# DozeMap mapDozeDetailsKeys			
DROID	APPLE	ACTION	COMMENT
beans	dozeBeans	ONE_TO_ONE	daily dozen
berries	dozeBerries	ONE_TO_ONE	daily dozen
other_fruits	dozeFruitsOther	ONE_TO_ONE	daily dozen
cruciferous_vegetables	dozeVegetablesCruciferous	ONE_TO_ONE	daily dozen
greens	dozeGreens	ONE_TO_ONE	daily dozen
other_vegetables	dozeVegetablesOther	ONE_TO_ONE	daily dozen
flaxseeds	dozeFlaxseeds	ONE_TO_ONE	daily dozen
nuts	dozeNuts	ONE_TO_ONE	daily dozen
spices	dozeSpices	ONE_TO_ONE	daily dozen
whole_grains	dozeWholeGrains	ONE_TO_ONE	daily dozen
beverages	dozeBeverages	ONE_TO_ONE	daily dozen
exercise	dozeExercise	ONE_TO_ONE	daily dozen
vitamin_b12	otherVitaminB12	ONE_TO_ONE	daily dozen other
	otherVitaminD	APPLE_ONLY	daily dozen other. hidden.
	otherOmega3	APPLE_ONLY	daily dozen other. hidden.
