# DozeMapChecklist pairedDozeStrings			
DROID	APPLE	ACTION	COMMENT
beans	dozeBeans.heading	ONE_TO_ONE	daily dozen checklist item
berries	dozeBerries.heading	ONE_TO_ONE	daily dozen checklist item
other_fruits	dozeFruitsOther.heading	ONE_TO_ONE	daily dozen checklist item
cruciferous_vegetables	dozeVegetablesCruciferous.heading	ONE_TO_ONE	daily dozen checklist item
greens	dozeGreens.heading	ONE_TO_ONE	daily dozen checklist item
other_vegetables	dozeVegetablesOther.heading	ONE_TO_ONE	daily dozen checklist item
flaxseeds	dozeFlaxseeds.heading	ONE_TO_ONE	daily dozen checklist item
nuts	dozeNuts.heading	ONE_TO_ONE	daily dozen checklist item
spices	dozeSpices.heading	ONE_TO_ONE	daily dozen checklist item
whole_grains	dozeWholeGrains.heading	ONE_TO_ONE	daily dozen checklist item
beverages	dozeBeverages.heading	ONE_TO_ONE	daily dozen checklist item
exercise	dozeExercise.heading	ONE_TO_ONE	daily dozen checklist item
vitamin_b12	otherVitaminB12.heading	ONE_TO_ONE	daily dozen checklist item other
	otherVitaminD.heading	APPLE_ONLY	daily dozen checklist item other. hidden.
	otherOmega3.heading	APPLE_ONLY	daily dozen checklist item other. hidden.
meal_water	tweakMealWater.heading	ONE_TO_ONE	tweak checklist items
meal_negcal	tweakMealNegCal.heading	ONE_TO_ONE	tweak checklist items
meal_vinegar	tweakMealVinegar.heading	ONE_TO_ONE	tweak checklist items
meal_undistracted	tweakMealUndistracted.heading	ONE_TO_ONE	tweak checklist items
meal_twentyminutes	tweakMeal20Minutes.heading	ONE_TO_ONE	tweak checklist items
daily_blackcumin	tweakDailyBlackCumin.heading	ONE_TO_ONE	tweak checklist items
daily_garlic	tweakDailyGarlic.heading	ONE_TO_ONE	tweak checklist items
daily_ginger	tweakDailyGinger.heading	ONE_TO_ONE	tweak checklist items
daily_nutriyeast	tweakDailyNutriYeast.heading	ONE_TO_ONE	tweak checklist items
daily_cumin	tweakDailyCumin.heading	ONE_TO_ONE	tweak checklist items
daily_greentea	tweakDailyGreenTea.heading	ONE_TO_ONE	tweak checklist items
daily_hydrate	tweakDailyHydrate.heading	ONE_TO_ONE	tweak checklist items
daily_deflourdiet	tweakDailyDeflourDiet.heading	ONE_TO_ONE	tweak checklist items
daily_frontload	tweakDailyFrontLoad.heading	ONE_TO_ONE	tweak checklist items
daily_timerestrict	tweakDailyTimeRestrict.heading	ONE_TO_ONE	tweak checklist items
exercise_timing	tweakExerciseTiming.heading	ONE_TO_ONE	tweak checklist items
weigh_twice	tweakWeightTwice.heading	ONE_TO_ONE	tweak checklist items
complete_intentions	tweakCompleteIntentions.heading	ONE_TO_ONE	tweak checklist items
nightly_fast	tweakNightlyFast.heading	ONE_TO_ONE	tweak checklist items
nightly_sleep	tweakNightlySleep.heading	ONE_TO_ONE	tweak checklist items
nightly_trendelenburg	tweakNightlyTrendelenbrug.heading	ONE_TO_ONE	tweak checklist items
